model_id,scenario_id,vintage_id,series_id,concept,unit,frequency,year,value,status,source_file,source_sheet,source_cell,method,data_status,source_value_type,reporting_role,parent_vintage_id,input_vintage_id,fr_ids,fr_id,error,coverage_scope,price_basis,unit_scale_unresolved,source_atom_id,caveat,primary_source_file,primary_source_sheet,primary_source_cell,transformation
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2013,17850.8,source_input,8 vərəq.xlsx,2.4.1.5.-7.,D10,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2014,17618.6,source_input,8 vərəq.xlsx,2.4.1.5.-7.,E10,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2015,15957.0282,source_input,8 vərəq.xlsx,2.4.1.5.-7.,F10,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2016,15772.8076,source_input,8 vərəq.xlsx,2.4.1.5.-7.,G10,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2017,17430.3,source_input,8 vərəq.xlsx,2.4.1.5.-7.,H10,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2018,17244.8629,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,I10,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2019,18539.4765,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,J10,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2020,17226.14,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,K10,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2021,16815.489999999998,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,L10,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2022,17878.15,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,M10,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2023,21310.7,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,N10,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2024,22106.3,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,O10,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2025,22318.57690705364,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,P10,portable_original_workbook_formula;expected,original_formula_expected,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2026,24437.001625405625,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,Q10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2027,26254.57550578677,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,R10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2028,27429.127873592603,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,S10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2029,28127.070487504978,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,T10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_10,Əsas kapitala cəmi investisiyalar,mln AZN,annual,2030,26850.74460951557,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,U10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2013,15.1,source_input,8 vərəq.xlsx,2.4.1.5.-7.,D11,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2014,-1.7015573531718466,source_input,8 vərəq.xlsx,2.4.1.5.-7.,E11,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2015,-11.118609878196901,source_input,8 vərəq.xlsx,2.4.1.5.-7.,F11,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2016,-21.73674991587719,source_input,8 vərəq.xlsx,2.4.1.5.-7.,G11,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2017,2.8496148650161683,source_input,8 vərəq.xlsx,2.4.1.5.-7.,H11,preserved_original_source_literal;historical_source,source_historical,original_literal,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2018,-4.299999999999997,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,I11,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2019,5.5,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,J11,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2020,-7.280354645450743,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,K11,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2021,-4.514637521812773,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,L11,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2022,3.343692155268755,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,M11,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2023,15.18371475795874,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,N11,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2024,2.403532591608908,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,O11,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2025,-0.5905324406556502,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,P11,portable_original_workbook_formula;expected,original_formula_expected,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2026,7.19772405843311,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,Q11,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_5_-7_11,real artım tempi,%,annual,2027,5.186796712831892,run_calculated,8 vərəq.xlsx,2.4.1.5.-7.,R11,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,statutory_template,ministry_supplied_original_2025_expected,,"[""FR6""]",,,,,,,,,,,
