model_id,scenario_id,vintage_id,series_id,concept,unit,frequency,year,value,status,source_file,source_sheet,source_cell,method,data_status,source_value_type,reporting_role,parent_vintage_id,input_vintage_id,fr_ids,fr_id,error,coverage_scope,price_basis,unit_scale_unresolved,source_atom_id,caveat,primary_source_file,primary_source_sheet,primary_source_cell,transformation
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2013,,run_error,8 vərəq.xlsx,2.4.1.1.,D30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2014,,run_error,8 vərəq.xlsx,2.4.1.1.,E30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2015,,run_error,8 vərəq.xlsx,2.4.1.1.,F30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2016,,run_error,8 vərəq.xlsx,2.4.1.1.,G30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2017,,run_error,8 vərəq.xlsx,2.4.1.1.,H30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2018,,run_error,8 vərəq.xlsx,2.4.1.1.,I30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2019,,run_error,8 vərəq.xlsx,2.4.1.1.,J30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2020,,run_error,8 vərəq.xlsx,2.4.1.1.,K30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2021,,run_error,8 vərəq.xlsx,2.4.1.1.,L30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2022,,run_error,8 vərəq.xlsx,2.4.1.1.,M30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2023,,run_error,8 vərəq.xlsx,2.4.1.1.,N30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2024,,run_error,8 vərəq.xlsx,2.4.1.1.,O30,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2025,,run_error,8 vərəq.xlsx,2.4.1.1.,P30,portable_original_workbook_formula;expected;#REF!;literal source error,original_formula_expected,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2026,,run_error,8 vərəq.xlsx,2.4.1.1.,Q30,portable_original_workbook_formula;forecast;#REF!;literal source error,original_formula_forecast,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_30,ABŞ dolları,AZN/USD,annual,2027,,run_error,8 vərəq.xlsx,2.4.1.1.,R30,portable_original_workbook_formula;forecast;#REF!;literal source error,original_formula_forecast,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2013,,run_error,8 vərəq.xlsx,2.4.1.1.,D31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2014,,run_error,8 vərəq.xlsx,2.4.1.1.,E31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2015,,run_error,8 vərəq.xlsx,2.4.1.1.,F31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2016,,run_error,8 vərəq.xlsx,2.4.1.1.,G31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2017,,run_error,8 vərəq.xlsx,2.4.1.1.,H31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2018,,run_error,8 vərəq.xlsx,2.4.1.1.,I31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2019,,run_error,8 vərəq.xlsx,2.4.1.1.,J31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2020,,run_error,8 vərəq.xlsx,2.4.1.1.,K31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2021,,run_error,8 vərəq.xlsx,2.4.1.1.,L31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2022,,run_error,8 vərəq.xlsx,2.4.1.1.,M31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2023,,run_error,8 vərəq.xlsx,2.4.1.1.,N31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,statutory_2_4_1_1_31,Avro,AZN/EUR,annual,2024,,run_error,8 vərəq.xlsx,2.4.1.1.,O31,portable_original_workbook_formula;historical_source;#REF!;literal source error,source_historical,formula_error,statutory_template,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,usd_azn,Original annual-average AZN/USD,AZN/USD,annual,2024,1.7,source_input,MOE INF.xlsx,11_12,AI9,preserved_original_source_literal;historical_source,source_historical,original_literal,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,usd_azn,Original annual-average AZN/USD,AZN/USD,annual,2025,1.7,run_calculated,MOE INF.xlsx,11_12,AJ9,portable_original_workbook_formula;expected,original_formula_expected,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,usd_azn,Original annual-average AZN/USD,AZN/USD,annual,2026,1.7,run_calculated,MOE INF.xlsx,11_12,AK9,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,usd_azn,Original annual-average AZN/USD,AZN/USD,annual,2027,1.7,run_calculated,MOE INF.xlsx,11_12,AL9,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,usd_azn,Original annual-average AZN/USD,AZN/USD,annual,2028,1.7,run_calculated,MOE INF.xlsx,11_12,AM9,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,usd_azn,Original annual-average AZN/USD,AZN/USD,annual,2029,1.7,run_calculated,MOE INF.xlsx,11_12,AN9,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,usd_azn,Original annual-average AZN/USD,AZN/USD,annual,2030,1.7,run_calculated,MOE INF.xlsx,11_12,AO9,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,eur_azn,Original annual-average AZN/EUR,AZN/EUR,annual,2024,1.836,run_calculated,MOE INF.xlsx,11_12,AI10,portable_original_workbook_formula;historical_source,source_historical,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,eur_azn,Original annual-average AZN/EUR,AZN/EUR,annual,2025,1.887,run_calculated,MOE INF.xlsx,11_12,AJ10,portable_original_workbook_formula;expected,original_formula_expected,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,eur_azn,Original annual-average AZN/EUR,AZN/EUR,annual,2026,1.9209999999999998,run_calculated,MOE INF.xlsx,11_12,AK10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,eur_azn,Original annual-average AZN/EUR,AZN/EUR,annual,2027,1.9209999999999998,run_calculated,MOE INF.xlsx,11_12,AL10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,eur_azn,Original annual-average AZN/EUR,AZN/EUR,annual,2028,1.9209999999999998,run_calculated,MOE INF.xlsx,11_12,AM10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,eur_azn,Original annual-average AZN/EUR,AZN/EUR,annual,2029,1.9209999999999998,run_calculated,MOE INF.xlsx,11_12,AN10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_macro,baseline,ministry_supplied_original_2025_expected,eur_azn,Original annual-average AZN/EUR,AZN/EUR,annual,2030,1.9209999999999998,run_calculated,MOE INF.xlsx,11_12,AO10,portable_original_workbook_formula;forecast,original_formula_forecast,formula_calculated,canonical_source_control,ministry_supplied_original_2025_expected,,"[""FR10""]",,,,,,,,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2014,0.7844,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,D101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2015,1.0261,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,E101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2016,1.5959,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,F101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2017,1.7211,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,G101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2018,1.7,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,H101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2019,1.7,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,I101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2020,1.7,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,J101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2021,1.7,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,K101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2022,1.7,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,L101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2023,1.7,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,M101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2024,1.7,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,N101,"exact native sheet output, year header independently checked",legacy_historical_input,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
ministry_caem,baseline,original_CAEM_2024_actual_2025_forecast,usd_annual_average,Annual-average AZN per USD,AZN/USD,annual,2025,1.7,run_calculated,CAEM.xlsb / native formula export,1b. Infl and Ex rates,O101,"exact native sheet output, year header independently checked",original_forecast,formula_calculated,,,,"[""FR10""]",FR10,,direct_original_output_atom,nominal bilateral annual-average AZN per USD,false,ministry_caem:source:1b. Infl and Ex rates:row101,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,,,,
